,2001.admissions.admission_rate.overall,2002.admissions.admission_rate.overall,2003.admissions.admission_rate.overall,2004.admissions.admission_rate.overall,2005.admissions.admission_rate.overall,2006.admissions.admission_rate.overall,2007.admissions.admission_rate.overall,2008.admissions.admission_rate.overall,2009.admissions.admission_rate.overall,2010.admissions.admission_rate.overall,2011.admissions.admission_rate.overall,2012.admissions.admission_rate.overall,2013.admissions.admission_rate.overall,2014.admissions.admission_rate.overall,2015.admissions.admission_rate.overall,school.name
0,0.6687,0.6216,0.6176,0.5109,0.2831,0.5124,0.4967,0.456,0.4244,0.4454,0.3805,0.4321,0.4524,0.5316,0.4464,University of South Florida-Main Campus
1,,,,,,,,,,,,,,,,Radford M Locklin Technical Center
2,,,,,,,,,,,,,,,,St Petersburg College
3,,,,,,,,,,,,,,,,Broward College
4,,,,,,,,,,,,,,0.4878,1.0,Luther Rice College & Seminary
5,,,,,,,,,,,,,,,,State College of Florida-Manatee-Sarasota
6,,,,,,,,,,,,,,,,Santa Fe College
7,0.7993,0.7828,0.8158,0.8419,0.8412,0.8203,0.7831,0.8008,0.8063,0.7992,0.7854,0.7854,0.7405,0.7306,0.6895,Embry-Riddle Aeronautical University-Daytona Beach
8,,,,,,,,,,,,,,,,Pensacola State College
9,0.8457,0.8817,0.743,0.5118,0.6981,0.9597,0.6865,0.7353,0.7336,,,,,,,Everest University-Tampa
10,,,,,,,,,,,,,,,,Saint Johns River State College
11,,,,,,,,,,,,,,,,Pinellas Technical College-Clearwater
12,,,,,,,,,,,,,,,,Polk State College
13,,,,,,,,,,,,,,,,Emily Griffith Technical College
14,,,,,,,,,,,,,,,,Front Range Community College
15,,,,,,,,,,,,,,,,The Wright Institute
16,,,,,,,,,,,,,,,,Thomas Jefferson School of Law
17,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7297,0.5842,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
18,,,,,,,,,,,,,,,,The Salon Professional Academy-Grand Junction
19,,,,,,,,,,,,,,,,Arapahoe Community College
0,,,,,,,,,,,,,,,,Delta Montrose Technical College
1,,,,,,,,,,,,,,,,Community College of Denver
2,,,,,,,,,,,,,,,,Strayer University-District of Columbia
3,,,,,,,,,,,,,,,,Eastern Florida State College
4,0.6466,0.6098,0.5495,0.6076,0.6165,0.5978,0.6143,0.5953,0.5444,0.6016,0.6314,0.6396,0.6413,0.6044,0.5867,Central Connecticut State University
5,0.6773,0.3003,0.4997,0.5584,0.6444,0.6362,0.4276,0.5625,0.3714,0.4149,0.4265,0.4265,0.4168,0.4374,0.4443,Delaware State University
6,,,,,,,,,,,,,,,,Gateway Community College
7,,,,,,,,,,,,,,,,Delaware Technical Community College-Terry
8,,,,,,,,,,,,,,,,Tunxis Community College
9,0.5326,0.5326,0.4921,0.563,0.563,0.5236,0.5237,0.5318,0.4098,0.5183,0.5183,0.5103,0.5466,0.5944,0.5665,Georgia State University
10,0.9203,0.9226,0.9253,0.765,0.7784,0.8752,0.9546,0.9564,0.9705,0.9734,0.9936,0.9929,0.9963,0.9962,0.9959,Brigham Young University-Idaho
11,,,,,,,,,,,,,,,,Illinois College of Optometry
12,0.6443,0.6197,0.6016,0.6259,0.6802,0.7545,0.7097,0.6903,0.6544,0.671,0.6759,0.6334,0.6239,0.5904,0.6556,University of Illinois at Urbana-Champaign
13,,,,,,,,,,,,,,,,Cannella School of Hair Design-Elgin
