,state,count
0,Washington,25
1,Montana,9
2,Maine,17
3,North Dakota,9
4,South Dakota,12
5,Wyoming,1
6,Wisconsin,36
7,Idaho,8
8,Vermont,15
9,Minnesota,36
10,Oregon,28
11,New Hampshire,13
12,Iowa,33
13,Massachusetts,79
14,Nebraska,22
15,New York,161
16,Pennsylvania,104
17,Connecticut,21
18,Rhode Island,9
19,New Jersey,36
20,Indiana,43
21,Nevada,5
22,Utah,9
23,California,132
24,Ohio,68
25,Illinois,76
26,Delaware,5
27,West Virginia,17
28,Maryland,30
29,Colorado,23
30,Kentucky,28
31,Kansas,25
32,Virginia,45
33,Missouri,51
34,Arizona,11
35,Oklahoma,25
36,North Carolina,57
37,Tennessee,44
38,Texas,87
39,New Mexico,10
40,Alabama,30
41,Mississippi,15
42,Georgia,49
43,South Carolina,33
44,Arkansas,20
45,Louisiana,25
46,Florida,52
47,Michigan,44
