,2009.repayment.3_yr_repayment.completers_rate,2009.repayment.3_yr_repayment.noncompleters_rate,2009.repayment.7_yr_repayment.completers_rate,2009.repayment.7_yr_repayment.noncompleters_rate,2009.repayment.repayment_cohort.3_year_declining_balance,2009.repayment.repayment_cohort.7_year_declining_balance,2010.repayment.3_yr_repayment.completers_rate,2010.repayment.3_yr_repayment.noncompleters_rate,2010.repayment.7_yr_repayment.completers_rate,2010.repayment.7_yr_repayment.noncompleters_rate,2010.repayment.repayment_cohort.3_year_declining_balance,2010.repayment.repayment_cohort.7_year_declining_balance,2011.repayment.3_yr_repayment.completers_rate,2011.repayment.3_yr_repayment.noncompleters_rate,2011.repayment.7_yr_repayment.completers_rate,2011.repayment.7_yr_repayment.noncompleters_rate,2011.repayment.repayment_cohort.3_year_declining_balance,2011.repayment.repayment_cohort.7_year_declining_balance,2012.repayment.3_yr_repayment.completers_rate,2012.repayment.3_yr_repayment.noncompleters_rate,2012.repayment.7_yr_repayment.completers_rate,2012.repayment.7_yr_repayment.noncompleters_rate,2012.repayment.repayment_cohort.3_year_declining_balance,2012.repayment.repayment_cohort.7_year_declining_balance,2013.repayment.3_yr_repayment.completers_rate,2013.repayment.3_yr_repayment.noncompleters_rate,2013.repayment.7_yr_repayment.completers_rate,2013.repayment.7_yr_repayment.noncompleters_rate,2013.repayment.repayment_cohort.3_year_declining_balance,2013.repayment.repayment_cohort.7_year_declining_balance,2014.repayment.3_yr_repayment.completers_rate,2014.repayment.3_yr_repayment.noncompleters_rate,2014.repayment.7_yr_repayment.completers_rate,2014.repayment.7_yr_repayment.noncompleters_rate,2014.repayment.repayment_cohort.3_year_declining_balance,2014.repayment.repayment_cohort.7_year_declining_balance,2015.repayment.3_yr_repayment.completers_rate,2015.repayment.3_yr_repayment.noncompleters_rate,2015.repayment.7_yr_repayment.completers_rate,2015.repayment.7_yr_repayment.noncompleters_rate,2015.repayment.repayment_cohort.3_year_declining_balance,2015.repayment.repayment_cohort.7_year_declining_balance,school.name
0,0.8710638298,0.6576944496,,,0.7571131159,,0.7802803953,0.5401311327,,,0.659220424,,0.6883604506,0.4681279356,,,0.5820831085,,0.673053475,0.4547652629,,,0.5718423019,,0.6712938245,0.48454729,0.880718008,0.715277778,0.5715707414,0.791611007,0.6616412807,0.4805626985,0.828933694,0.621193666,0.5698735148,0.723836911,0.65179785,0.4577512777,0.775611621,0.580234438,0.5702212991,0.68064833,University of South Florida-Main Campus
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radford M Locklin Technical Center
2,0.7838235294,0.4878102837,,,0.5265793529,,0.6662420382,0.336707512,,,0.3936990527,,0.5692771084,0.2749169435,,,0.3385416667,,0.5704971475,0.2574484339,,,0.3319751649,,0.5586068319,0.2695449242,0.803475936,0.553070434,0.3345892992,0.585115483,0.5263676688,0.2534406648,0.723255814,0.426205904,0.3103483712,0.47702407,0.5252321356,0.2458489555,0.648044693,0.382725431,0.3044361666,0.439466348,St Petersburg College
3,0.7572674419,0.4825236967,,,0.5290354331,,0.6868217054,0.4215787659,,,0.4698251551,,0.5929443691,0.3542177109,,,0.4031719533,,0.5633640553,0.3449397982,,,0.3930474499,,0.5780911063,0.3381081081,0.773351648,0.526552402,0.3859800952,0.568462795,0.5597874225,0.3176671651,0.721973094,0.491983968,0.3647160069,0.533988534,0.5402750491,0.3220309811,0.657587549,0.449172577,0.3674526373,0.492229368,Broward College
4,,,,,0.4864864865,,,,,,0.4166666667,,,,,,0.412371134,,,,,,0.3706896552,,0.3666666667,0.3267326733,,,0.3358778626,0.62195122,0.35,0.3535353535,,,0.3525179856,0.56,0.4,0.2990654206,,,0.3333333333,0.513274336,Luther Rice College & Seminary
5,0.7575757576,0.4977272727,,,0.5158562368,,0.6580645161,0.3813131313,,,0.4059804485,,0.6060606061,0.3174273859,,,0.3401815576,,0.5537190083,0.2861457154,,,0.3085437565,,0.5140186916,0.2829024677,0.748201439,0.545269583,0.3028187919,0.558669834,0.512145749,0.2994350282,0.728915663,0.479300292,0.3254833912,0.50132908,0.5303703704,0.3161441547,0.745856354,0.430685743,0.3515166341,0.456521739,State College of Florida-Manatee-Sarasota
6,0.7270029674,0.5190965092,,,0.5641685429,,0.6672104405,0.4685106383,,,0.5096186298,,0.6093489149,0.4212022746,,,0.4580202548,,0.5504710633,0.3481601294,,,0.3949004975,,0.5048231511,0.3029411765,0.744733581,0.546455609,0.3501126972,0.589550229,0.4911838791,0.2905301081,0.693165969,0.493544817,0.3376009454,0.53529755,0.4883081155,0.2939297125,0.66180758,0.474747475,0.3423577793,0.511856565,Santa Fe College
7,0.8488372093,0.8207034601,,,0.8213787329,,0.7933884298,0.7588985897,,,0.7626459144,,0.8070175439,0.6605374823,,,0.7100499376,,0.808073115,0.619817998,,,0.6949255545,,0.8048780488,0.6128590971,0.89010989,0.833726106,0.6888092613,0.835038363,0.8106370544,0.5906009941,0.888601036,0.800687285,0.6865443425,0.810147756,0.8106734435,0.5733695652,0.88277087,0.733246866,0.663373494,0.782204129,Embry-Riddle Aeronautical University-Daytona Beach
8,0.7518796992,0.5419708029,,,0.6105651106,,0.686746988,0.4564315353,,,0.5348837209,,0.6578947368,0.418699187,,,0.5100502513,,0.6624605678,0.4352941176,,,0.5223700121,,0.6411042945,0.3541284404,0.730103806,0.585284281,0.4615384615,0.632468997,0.6073446328,0.3196428571,0.702205882,0.507692308,0.4310722101,0.57449495,0.6067708333,0.3708708709,0.716049383,0.492366412,0.4571428571,0.577830189,Pensacola State College
9,0.6383587786,0.2263374486,,,0.2994245091,,0.4268846503,0.1446764401,,,0.1842373313,,0.2732520847,0.1125389894,,,0.1387090036,,0.2206642066,0.1185069413,,,0.1388827556,,0.1953524004,0.1416131989,0.630099728,0.270841192,0.1539863594,0.332708821,0.2094412907,0.1118508003,0.514836795,0.219095119,0.1255888291,0.276357369,0.2458646617,0.1066551375,0.367887324,0.182238267,0.1214559795,0.220114943,Everest University-Tampa
