,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
0,3,15,15,9,4,3,9382.0,0.7669,1,9275,11,1,University of South Florida-Main Campus,1,1,FL,6669,0
1,1,-3,-2,-2,1,1,,,3,3954,41,1,Radford M Locklin Technical Center,1,1,FL,965,0
2,1,23,15,5,3,2,7061.0,0.239,1,4541,13,1,St Petersburg College,1,1,FL,1994,0
3,1,7,15,5,3,2,6668.0,0.322,1,3972,21,1,Broward College,1,1,FL,1327,0
4,1,24,6,5,4,3,5449.0,0.4722,1,2554,21,1,Luther Rice College & Seminary,1,2,GA,6595,0
5,1,7,12,5,3,2,6109.0,0.314,1,3656,21,1,State College of Florida-Manatee-Sarasota,1,1,FL,2503,0
6,1,3,12,5,3,2,5477.0,0.3898,1,3881,22,1,Santa Fe College,1,1,FL,2368,0
7,2,19,13,14,4,3,9099.0,0.8786,1,16076,13,1,Embry-Riddle Aeronautical University-Daytona Beach,1,2,FL,28796,0
8,1,3,12,5,3,2,5220.0,0.3103,1,4896,13,1,Pensacola State College,1,1,FL,1439,0
9,11,23,6,11,4,1,4068.0,,1,8039,11,0,Everest University-Tampa,0,2,FL,15278,0
10,1,3,12,5,3,2,5076.0,0.3608,1,3959,32,1,Saint Johns River State College,1,1,FL,1970,0
11,1,-3,-2,-2,1,1,,,2,4583,21,1,Pinellas Technical College-Clearwater,1,1,FL,1867,0
12,1,3,12,5,3,2,6159.0,0.4354,1,4671,13,1,Polk State College,1,1,FL,1719,0
13,1,-3,-2,-2,1,1,,,3,3285,11,1,Emily Griffith Technical College,1,1,CO,1997,0
14,1,5,4,1,2,1,6720.0,0.9837,2,4000,21,1,Front Range Community College,1,1,CO,5343,0
15,1,26,18,0,4,4,7574.0,0.2716,1,12922,12,1,The Wright Institute,1,2,CA,22060,0
16,1,31,18,0,4,4,13672.0,0.5135,1,8412,11,1,Thomas Jefferson School of Law,1,2,CA,44210,0
17,1,24,8,11,3,3,2719.0,,1,10505,11,1,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,1,2,CA,12391,0
18,1,-3,-2,-2,1,1,,,2,3143,13,1,The Salon Professional Academy-Grand Junction,1,3,CO,8798,0
